,year,month,day_of_month,1,2,3,4,5,6,7,8,9,10,11,12,day>=_0_day_<5,day>=_5_day_<10,day>=_10_day_<15,day>=_15_day_<20,day>=_20_day_<25,output/day,mv_avg_2,mv_avg_3,mv_avg_4,mv_avg_5,mv_avg_7,mv_avg_10,mv_avg_15,mv_avg_20,mv_avg_25,mv_avg_30,mv_avg_45,lst_yr_mv_avg_2,lst_yr_mv_avg_3,lst_yr_mv_avg_4,lst_yr_mv_avg_5,lst_yr_mv_avg_7,lst_yr_mv_avg_10,lst_yr_mv_avg_15,lst_yr_mv_avg_20,lst_yr_mv_avg_25,lst_yr_mv_avg_30,lst_yr_mv_avg_45,target,mean,std,min,max,last_year
769,2015,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,4.5,6.0,5.5,5.8,5.285714285714286,4.6,3.8666666666666667,3.5,3.36,3.066666666666667,2.7777777777777777,1.5,2.0,2.5,3.0,4.0,3.8,3.3333333333333335,3.25,2.96,3.1333333333333333,2.888888888888889,227.0,172.10000000000016,45.25229275959385,140.89999999999998,224.0,224.0
770,2015,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,3.5,3.6666666666666665,5.0,4.8,5.142857142857143,4.5,3.8666666666666667,3.5,3.4,3.1,2.7555555555555555,2.5,2.0,2.25,2.6,3.7142857142857144,3.8,3.4,3.35,3.04,3.1333333333333333,2.8666666666666667,242.0,179.8666666666666,52.97710197182684,147.39999999999998,241.0,241.0
771,2015,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.5,2.6666666666666665,3.0,4.2,4.571428571428571,4.2,3.8666666666666667,3.4,3.24,3.033333333333333,2.7777777777777777,2.5,2.3333333333333335,2.0,2.2,2.857142857142857,3.6,3.3333333333333335,3.35,3.08,3.033333333333333,2.888888888888889,255.0,186.2666666666668,50.91211381717835,154.7,245.0,245.0
772,2015,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,2.0,2.0,2.75,3.0,4.0,4.3,3.7333333333333334,3.5,3.16,3.1333333333333333,2.8444444444444446,3.0,3.0,2.75,2.4,2.7142857142857144,3.7,3.533333333333333,3.3,3.16,2.966666666666667,2.911111111111111,253.0,192.80000000000007,54.21106898042128,155.60000000000002,255.0,255.0
773,2015,2,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,5.5,4.0,3.5,3.8,4.571428571428571,4.8,4.2,3.8,3.4,3.3666666666666667,2.977777777777778,5.0,4.0,3.75,3.4,3.0,3.8,3.8,3.55,3.32,3.0,2.9555555555555557,247.0,196.4666666666668,52.424930456161036,165.80000000000007,257.0,257.0
774,2015,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,8.5,6.666666666666667,5.25,4.6,4.571428571428571,5.2,4.6,4.05,3.72,3.566666666666667,3.1333333333333333,4.0,4.0,3.5,3.4,2.857142857142857,3.2,3.6666666666666665,3.35,3.28,3.033333333333333,2.9555555555555557,257.0,207.90000000000018,55.566266745211365,173.40000000000055,272.0,272.0
775,2015,2,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,6.5,7.0,6.0,5.0,4.571428571428571,4.9,4.666666666666667,4.15,3.8,3.6666666666666665,3.1555555555555554,2.0,3.3333333333333335,3.5,3.2,3.0,2.9,3.6,3.35,3.32,3.066666666666667,2.9555555555555557,263.0,212.73333333333315,52.96275420834301,173.59999999999945,273.0,273.0
776,2015,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0,7.0,7.666666666666667,7.75,6.8,5.285714285714286,5.5,5.066666666666666,4.6,4.08,3.8333333333333335,3.311111111111111,4.0,3.3333333333333335,4.0,4.0,3.5714285714285716,3.1,3.7333333333333334,3.5,3.48,3.2333333333333334,3.022222222222222,265.0,214.09999999999988,46.11257962855702,182.39999999999964,267.0,267.0
777,2015,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0,8.0,6.666666666666667,7.25,7.4,5.857142857142857,5.2,5.333333333333333,4.65,4.28,3.8666666666666667,3.311111111111111,8.0,6.0,5.0,5.2,4.571428571428571,3.8,4.2,3.95,3.68,3.5,3.2,262.0,219.4,47.5082098168306,187.5,274.0,274.0
778,2015,2,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0,6.0,7.333333333333333,6.5,7.0,6.571428571428571,5.4,5.533333333333333,4.9,4.44,4.0,3.3333333333333335,9.0,8.0,6.5,5.6,5.428571428571429,4.5,4.4,4.25,3.96,3.7,3.311111111111111,258.0,227.83333333333334,56.23685031483657,180.5,290.0,290.0
